?cls	?def	?xrefs
<http://edamontology.org/operation_3208>	"Visualise, format or render a nucleic acid sequence that is part of (and in context of) a complete genome sequence."	
<http://purl.obolibrary.org/obo/CHEBI_33302>	"A p-block molecular entity containing any pnictogen."	
<http://edamontology.org/data_1249>	"The size (length) of a sequence, subsequence or region in a sequence, or range(s) of lengths."	
<http://www.ebi.ac.uk/efo/EFO_0001444>	"A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument."	
<http://www.ebi.ac.uk/efo/EFO_0004292>	"A process that involves adding vaccine into a host (e.g., human, mouse) in vivo with the intent to invoke a protective immune response."	
<http://purl.obolibrary.org/obo/OBI_0000427>	"(protein or rna) or has_part (protein or rna) and\nhas_function some GO:0003824 (catalytic activity)"@en	
<http://edamontology.org/data_2717>	"General annotation on an oligonucleotide probe, or a set of probes."	
<http://purl.obolibrary.org/obo/SO_0001037>	"A nucleotide region with either intra-genome or intracellular mobility, of varying length, which often carry the information necessary for transfer and recombination with the host genome."	
<http://purl.obolibrary.org/obo/IAO_0020000>	"An information content entity that is the outcome of a dubbing process and is used to refer to one instance of entity shared by a group of people to refer to that individual entity."@en	
<http://purl.obolibrary.org/obo/ENVO_01001110>	"An environmental system which includes both living and non-living components."	
<http://purl.obolibrary.org/obo/SO_0000101>	"A transposon or insertion sequence. An element that can insert in a variety of DNA sequences."	
<http://purl.obolibrary.org/obo/CHEBI_33893>	"A substance used in a chemical reaction to detect, measure, examine, or produce other substances."	
<http://edamontology.org/operation_3095>	"Design (or predict) nucleic acid sequences with specific chemical or physical properties."	
<http://purl.obolibrary.org/obo/OBI_0000454>	"An electrophysiology assay where the recording location of the electrode is extracellular."@en	
<http://purl.obolibrary.org/obo/PATO_0001886>	"A physical quality inhering in a bearer by virtue the bearer's disposition to having an affinity for water; it is readily absorbing or dissolving in water."	
<http://edamontology.org/operation_2403>	"Analyse one or more known molecular sequences."	
<http://www.fairsharing.org/ontology/domain/DRAO_0000322>	"An approved drug is a preparation that has been validated for a therapeutic use by a ruling authority of a government."@en	
<http://edamontology.org/data_1278>	"A map showing the relative positions of genetic markers in a nucleic acid sequence, based on estimation of non-physical distance such as recombination frequencies."	
<http://purl.obolibrary.org/obo/SO_0001956>	"A polypeptide_region that codes for a protease cleavage site."	
<http://purl.obolibrary.org/obo/CHMO_0000793>	"An information content entity that is output by an assay."	
<http://purl.obolibrary.org/obo/OBI_0001954>	"An assay in which portions of chromatin, the ordered and organized complex of DNA and its interaction partners that make up a chormosome, is extracted and purified by immunoprecipitation with antibodies or tags, and subsequently analyzed"@en	
<http://purl.obolibrary.org/obo/NCIT_C49667>	"A study of the relative safety of treatment of a disease. Usually this is a Phase I or II trial."	
<http://purl.obolibrary.org/obo/CHMO_0000102>	"Microscopy where the specimen is illuminated with visible light and a system of lenses is used to produce an image."	
<http://purl.obolibrary.org/obo/UBERON_0001062>	"Biological entity that is either an individual member of a biological species or constitutes the structural organization of an individual member of a biological species."	
<http://purl.obolibrary.org/obo/BFO_0000015>	"p is a process = Def. p is an occurrent that has temporal proper parts and for some time t, p s-depends_on some material entity at t. (axiom label in BFO2 Reference: [083-003])"@en	
<http://purl.obolibrary.org/obo/PW_0000001>	"A pathway is a set of inter-connected  reactions and interactions whose delineation and scope are used as a model for exploring and studying, describing and understanding the working of and relationships between biomolecules within a context."	
<http://purl.obolibrary.org/obo/FBcv_0000155>	"Chromosome that carries inversions and visible mutations, and which can be used to identify the genotype of an individual."	
<http://edamontology.org/operation_0492>	"Align more than two molecular sequences."	
<http://purl.obolibrary.org/obo/MI_0064>	"Protein interactions, experimentally detected in an organism, are extended to a second organism assuming that homologue proteins, in different organisms, maintain their interaction properties."	
<http://purl.obolibrary.org/obo/OMIT_0019234>		
<http://purl.obolibrary.org/obo/CHMO_0000067>	"Any technique where a microscope is used to view a small object (or specimen) by producing a magnified image."	
<http://biomodels.net/SBO/SBO_0000545>	"A value, numerical or symbolic, that defines certain characteristics of systems or system functions, or is necessary in their derivation."	
<http://purl.obolibrary.org/obo/OBI_0000011>	"A processual entity that realizes a plan which is the concretization of a plan specification."@en	
<http://purl.obolibrary.org/obo/IAO_0000308>	"An information content entity consisting of a two dimensional arrangement of information content entities such that the arrangement itself is about something."@en	
<http://purl.obolibrary.org/obo/SO_0000772>	"A genomic island is an integrated mobile genetic element, characterized by size (over 10 Kb). It that has features that suggest a foreign origin. These can include nucleotide distribution (oligonucleotides signature, CG content etc.) that differs from the bulk of the chromosome and/or genes suggesting DNA mobility."	
<http://purl.obolibrary.org/obo/CHEBI_33253>	"Heavy nuclear particle: proton or neutron."	
<http://edamontology.org/data_3494>	"A DNA sequence."	
<http://purl.obolibrary.org/obo/SO_0000203>	"Messenger RNA sequences that are untranslated and lie five prime or three prime to sequences which are translated."	
<http://purl.obolibrary.org/obo/GO_0010556>	"Any process that modulates the rate, frequency or extent of the chemical reactions and pathways resulting in the formation of a macromolecule, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."	
<http://purl.obolibrary.org/obo/UBERON_0000062>	"Organs are commonly observed as visibly distinct structures, but may also exist as loosely associated clusters of cells that work together to perform a specific function or functions."	
<http://purl.obolibrary.org/obo/CLO_0000001>		
<http://purl.obolibrary.org/obo/GO_0098802>	"Any protein complex that is part of the plasma membrane and which functions as a signaling receptor."	
<http://purl.obolibrary.org/obo/UBERON_0000178>	"A fluid that is composed of blood plasma and erythrocytes."	
<http://purl.obolibrary.org/obo/GO_0035592>	"The directed movement of a protein to a specific location within the extracellular region."	
<http://purl.obolibrary.org/obo/MP_0005382>	"the observable morphological and physiological characteristics of the face or head of a mammalian organism that are manifested through development and lifespan"	
<http://www.ebi.ac.uk/efo/EFO_0005741>	"A disease whose physical basis is an infectious agent"	
<http://purl.obolibrary.org/obo/CHMO_0000656>	"Spectroscopy where the Raman scattering of monochromatic light, usually from a laser in the visible, near infrared, or near ultraviolet range by a sample is detected."	
<http://purl.obolibrary.org/obo/SO_0000705>	"Two or more adjacent copies of a region (of length greater than 1)."	
<http://purl.obolibrary.org/obo/GO_0000380>	"The process of generating multiple mRNA molecules from a given set of exons by differential use of exons from the primary transcript(s) to form multiple mature mRNAs that vary in their exon composition."	
<http://biomodels.net/SBO/SBO_0000308>	"Quantitative parameter that characterises a biochemical equilibrium. "	
<http://purl.obolibrary.org/obo/OBI_0000940>	"A microscope that produces an image of an object by targeting it with an electro-magnetic beam in the visible frequency range"@en	
<http://purl.obolibrary.org/obo/BFO_0000017>	"A specifically dependent continuant  that inheres in continuant  entities and are not exhibited in full at every time in which it inheres in an entity or group of entities. The exhibition or actualization of a realizable entity is a particular manifestation, functioning or process that occurs under certain circumstances."@en	
<http://purl.obolibrary.org/obo/UBERON_0002405>	"Anatomical system that protects the body from foreign substances, cells, and tissues by producing the immune response and that includes especially the thymus, spleen, lymphoid tissue, lymphocytes including the B cells and T cells, and antibodies."	
<http://purl.obolibrary.org/obo/GO_0070727>	"Any process in which a macromolecule is transported to, and/or maintained in, a specific location at the level of a cell. Localization at the cellular level encompasses movement within the cell, from within the cell to the cell surface, or from one location to another at the surface of a cell."	
<http://purl.obolibrary.org/obo/OBI_0002438>	"An assay that detects the proximity of chromosomal DNA through the use of a ligation reaction in isolated nuclei."@en	
<http://purl.obolibrary.org/obo/GO_0043227>	"Organized structure of distinctive morphology and function, bounded by a single or double lipid bilayer membrane. Includes the nucleus, mitochondria, plastids, vacuoles, and vesicles. Excludes the plasma membrane."	
<http://purl.obolibrary.org/obo/OBI_0600053>	"a protocol application that uses an electrical potential to move material through a defined matrix in order to separate it by its resistance to movement and its charge"@en	
<http://purl.obolibrary.org/obo/ENVO_01001654>	"A material transformation process during which solid or liquid particles form and are suspended in a mass of air, thus creating an aerosol."	
<http://edamontology.org/data_2977>	"One or more nucleic acid sequences, possibly with associated annotation."	
<http://edamontology.org/operation_0564>	"Visualise, format or render a molecular sequence or sequences such as a sequence alignment, possibly with sequence features or properties shown."	
<http://purl.obolibrary.org/obo/UBERON_0002365>	"A gland that secretes products (excluding hormones and other chemical messengers) into ducts (duct glands) which lead directly into the external environment[WP]. Typical exocrine glands include sweat glands, salivary glands, mammary glands, stomach, liver, pancreas."	
<http://purl.obolibrary.org/obo/OMIT_0019939>		
<http://www.ebi.ac.uk/swo/interface/SWO_9000051>	"A web service is a software interface which works as a method of communication between two electronic devices over the World Wide Web and which is provided at a particular network address. There are two major classes of Web services: REST-compliant Web services, and arbitrary (or application-specific) Web services."	
<http://purl.obolibrary.org/obo/GO_0009890>	"Any process that stops, prevents, or reduces the rate of the chemical reactions and pathways resulting in the formation of substances."	
<http://purl.obolibrary.org/obo/SO_0000239>	"The sequences extending on either side of a specific region."	
<http://purl.obolibrary.org/obo/OBI_0600014>	"a material processing in which components of an input material become segregated in space"@en	
<http://purl.obolibrary.org/obo/SO_0000162>	"Consensus region of primary transcript bordering junction of splicing. A region that overlaps exactly 2 base and adjacent_to splice_junction."	
<http://purl.obolibrary.org/obo/OBI_0302914>	"Digital curation is the process of establishing and developing long term repositories of digital assets for current and future reference by researchers, scientists, and historians, and scholars generally."@en	
<http://purl.obolibrary.org/obo/UBERON_0001033>	"The sensory system for the sense of taste[NLXANAT:090803]."	
<http://purl.obolibrary.org/obo/DRON_00000001>	"A role of a material entity to prevent, diagnose, treat, or study disease and/or its effects."@en	
<http://purl.obolibrary.org/obo/MI_0074>	"Mutant molecules are produced by random or directed techniques and assayed for their ability to support binding."	
<http://www.ebi.ac.uk/efo/EFO_0022599>	"The covalent transfer of a methyl group to either N-6 of adenine or C-5 or N-4 of cytosine."	
<http://purl.obolibrary.org/obo/STATO_0000039>	"a statistic is a measurement datum to describe a dataset or a variable. It is generated by a calculation on set of observed data."@en	
<http://purl.obolibrary.org/obo/UO_0000000>		
<http://purl.obolibrary.org/obo/SO_0000736>	"A sequence of DNA that originates from a an organelle."	
<http://purl.obolibrary.org/obo/OBI_0000953>	"A specimen that has been intentionally physically modified."@en	
<http://purl.obolibrary.org/obo/CHEBI_61120>	"Any compound that has a nucleobase as a part."	
<http://purl.obolibrary.org/obo/NCIT_C13445>	"The structural elements that comprise a gene or transcription unit. Gene structures include the transcription initiation site, the protein coding sequences, intervening sequences, and the transcription termination or polyadenylation sites as well as the regulatory elements (enhancers, silencers, and the promoter) that lie outside the boundaries of the transcribed unit."	
<http://edamontology.org/data_1009>	"Name of a protein."	
<http://purl.obolibrary.org/obo/GO_0016310>	"The process of introducing a phosphate group into a molecule, usually with the formation of a phosphoric ester, a phosphoric anhydride or a phosphoric amide."	
<http://purl.obolibrary.org/obo/BFO_0000031>	"b is a generically dependent continuant = Def. b is a continuant that g-depends_on one or more other entities. (axiom label in BFO2 Reference: [074-001])"@en	
<http://purl.obolibrary.org/obo/GO_0050789>	"Any process that modulates the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."	
<http://purl.obolibrary.org/obo/T4FS_0000353>	"Resource management is the efficient and effective development of an organization's resources when they are needed. Such resources may include the financial resources, inventory, human skills, production resources, or information technology (IT) and natural resources."@en	
<http://purl.obolibrary.org/obo/NCIT_C16809>	"Imaging that uses radiofrequency waves and a strong magnetic field rather than x-rays to provide detailed pictures of internal organs and tissues. The technique is valuable for the diagnosis of many pathologic conditions, including cancer, heart and vascular disease, stroke, and joint and musculoskeletal disorders."	
<http://purl.obolibrary.org/obo/OBI_0000737>	"A cloning vector is an engineered material that is used as an input material for a recombinant vector cloning process to carry inserted nucleic acids. It contains an origin of replication for a specific destination host organism, encodes for a selectable gene product and contains a cloning site."@en	
<http://purl.obolibrary.org/obo/CL_0000113>	"A vertebrate phagocyte with a single nucleus."	
<http://edamontology.org/data_2299>	"The name of a gene, (typically) assigned by a person and/or according to a naming scheme. It may contain white space characters and is typically more intuitive and readable than a gene symbol. It (typically) may be used to identify similar genes in different species and to derive a gene symbol."	
<http://purl.obolibrary.org/obo/FBcv_0000623>	"Genotype g1 is enhancer of genotype g2 if (and only if) the phenotype due to the genotype g1g2 is more severe than the sum of phenotypes due to g1 and g2, where all comparisons are under identical environmental conditions."	
<http://purl.obolibrary.org/obo/UBERON_0004121>	"An anatomical structure that develops (entirely or partially) from the ectoderm."	
<http://purl.obolibrary.org/obo/SO_0000289>	"A repeat_region containing repeat_units of 2 to 10 bp repeated in tandem."	
<http://purl.obolibrary.org/obo/NCIT_C453>	"Biologically active DNA which has been formed by the in vitro joining of segments of DNA from different sources usually for the purpose of genetic manipulation."	
<http://purl.obolibrary.org/obo/GO_0016441>	"The inactivation of gene expression that occurs after transcription."	
<http://edamontology.org/operation_1777>	"Predict the biological or biochemical role of a protein, or other aspects of a protein function."	
<http://purl.obolibrary.org/obo/ENVO_01000204>	"A tropical condition is an environmental condition in which an environmental system receives high yearly solar irradiance per unit area and, on Earth, the Sun reaches a subsolar point at least once during the solar year. This results in a hot and moist year-round climate at low elevations, which have a monthly average temperature above 18 degrees Celsius."	
<http://edamontology.org/operation_2575>	"Identify or predict catalytic residues, active sites or other ligand-binding sites in protein sequences or structures."	
<http://www.ebi.ac.uk/efo/EFO_0000749>	"An assay in which changes in DNA sequence copy number are analysed using a microarray. For example the analysis of LOH in tumor cells vs a non diseased sample or the comparison of clinical isolated of disease causing bacteria."	
<http://purl.obolibrary.org/obo/MI_2030>	"The isoelectric point (pI) is the pH at which a particular molecule or surface carries no net electrical charge. For an amino acid with only one amine and one carboxyl group, the pI can be calculated from the pKas of this molecule."	
<http://edamontology.org/data_2050>	"General data for a molecule."	
<http://purl.obolibrary.org/obo/NCIT_C70699>	"Any material sample taken from a biological entity for testing, diagnostic, propagation, treatment or research purposes, including a sample obtained from a living organism or taken from the biological object after halting of all its life functions. Biospecimen can contain one or more components including but not limited to cellular molecules, cells, tissues, organs, body fluids, embryos, and body excretory products."	
<http://purl.obolibrary.org/obo/IDOMAL_0000786>	"They are glycolipids with the major function of anchoring proteins to cell membrane surfaces. They are particularly abundant in protozoan parasites, where they serve as the predominant mechanism for integrating glycoproteins and phosphosaccharides into membrane lipid bilayers."	
<http://purl.obolibrary.org/obo/NCIT_C17253>	"The total complement of hereditary material in a virus, which can be composed of either DNA or RNA."	
<http://purl.obolibrary.org/obo/OBI_0000430>	"plasmid = DNA and has_quality circular and has_function\n(is_realized_as some gene expression) GO:0010467"@en	
<http://purl.obolibrary.org/obo/CHMO_0000141>	"Any detection or measurement method where the structure of a crystal or molecule can be determined by directing a beam of particles or radiation at a sample and recording the resulting diffraction pattern."	
<http://purl.obolibrary.org/obo/CHEBI_33694>	"A macromolecule formed by a living organism."	
<http://purl.obolibrary.org/obo/PATO_0001021>	"A physical quality inhering in a bearer by virtue of the bearer's capacity to do work."	
<http://purl.obolibrary.org/obo/GO_0009058>	"A cellular process consisting of the biochemical pathways by which a living organism synthesizes chemical substances. This typically represents the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones."	
<http://purl.obolibrary.org/obo/UBERON_0001033>	"The sensory system for the sense of taste."	
<http://edamontology.org/operation_2492>	"Predict the interactions of proteins with other proteins."	
<http://purl.obolibrary.org/obo/OBI_0001632>	"A assay detecting a molecular label assay in which the label is attached to an antibody so that substances are marked based on the antibody's binding specificity."@en	
<http://purl.obolibrary.org/obo/FBbi_00000267>	"A form of graphical illustration that changes with time to give a sense of motion or represent dynamic changes in the portrayal."	
<http://purl.obolibrary.org/obo/IAO_0000030>	"A generically dependent continuant that is about some thing."@en	
<http://edamontology.org/topic_3345>	"Topic concerning the identity of biological entities, or reports on such entities, and the mapping of entities and records in different databases."	
<http://edamontology.org/operation_0314>	"The measurement of the activity (expression) of multiple genes in a cell, tissue, sample etc., in order to get an impression of biological function."	
<http://purl.obolibrary.org/obo/UBERON_0000948>	"Part of the circulatory system responsible for pumping blood; composed of three chambers--two atria and one ventricle.[AAO]"	
<http://purl.obolibrary.org/obo/CHMO_0000800>	"A plot of a measured quantity against some experimental parameter."	
<http://www.ebi.ac.uk/efo/EFO_0000319>	"A non-neoplastic or neoplastic disorder affecting the heart or the vessels (arteries, veins and lymph vessels). Representative examples of non-neoplastic cardiovascular disorders are endocarditis and hypertension. Representative examples of neoplastic cardiovascular disorders are endocardial myxoma and angiosarcoma."	
<http://purl.obolibrary.org/obo/GO_0140013>	"One of the two nuclear divisions that occur as part of the meiotic cell cycle."	
<http://purl.obolibrary.org/obo/CHEBI_15378>	"The general name for the hydrogen nucleus, to be used without regard to the hydrogen nuclear mass (either for hydrogen in its natural abundance or where it is not desired to distinguish between the isotopes)."	
<http://purl.obolibrary.org/obo/CL_0000219>	"A cell that moves by its own activities."	
<http://purl.obolibrary.org/obo/CHEBI_26082>		
<http://purl.obolibrary.org/obo/CHEBI_52214>	"Any molecule or ion capable of binding to a central metal atom to form coordination complexes."	
<http://purl.obolibrary.org/obo/CLO_0037280>		
<http://purl.obolibrary.org/obo/GO_0032991>	"A stable assembly of two or more macromolecules, i.e. proteins, nucleic acids, carbohydrates or lipids, in which at least one component is a protein and the constituent parts function together."	
<http://purl.obolibrary.org/obo/SO_0001006>	"A phage genome after it has established in the host genome in a latent/immune state either as a plasmid or as an integrated \"island\"."	
<http://purl.obolibrary.org/obo/SO_0000418>	"The signal_peptide is a short region of the peptide located at the N-terminus that directs the protein to be secreted or part of membrane components."	
<http://purl.obolibrary.org/obo/IDO_0000550>	"A molecular entity bearing an exotoxin disposition."@en	
<http://purl.obolibrary.org/obo/GO_0006396>	"Any process involved in the conversion of one or more primary RNA transcripts into one or more mature RNA molecules."	
<http://purl.obolibrary.org/obo/GO_0060255>	"Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving macromolecules, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."	
<http://purl.obolibrary.org/obo/SO_0000839>	"Biological sequence region that can be assigned to a specific subsequence of a polypeptide."	
<http://edamontology.org/data_0984>	"Name of a specific molecule."	
<http://purl.obolibrary.org/obo/OBI_0400147>	"A processed material that is made to be used in an analyte assay. It consists of a physical immobilisation matrix in which substances that bind the analyte are placed in regular spatial position."@en	
<http://purl.obolibrary.org/obo/PATO_0000052>	"A morphological quality inhering in a bearer by virtue of the bearer's ratios of distances between its features (points, edges, surfaces and also holes etc)."	
<http://purl.obolibrary.org/obo/SO_0005855>	"A collection of related genes."	
<http://purl.obolibrary.org/obo/GO_0006954>	"The immediate defensive reaction (by vertebrate tissue) to infection or injury caused by chemical or physical agents. The process is characterized by local vasodilation, extravasation of plasma into intercellular spaces and accumulation of white blood cells and macrophages."	
<http://purl.obolibrary.org/obo/OBI_0000726>	"Peak matching is a data transformation performed on a dataset of a graph of ordered data points (e.g. a spectrum) with the objective of pattern matching local maxima above a noise threshold"@en	
<http://purl.obolibrary.org/obo/OBI_0000470>	"An assay that identifies the amount and type of material entities present in a sample by fragmenting the sample and measuring the mass-to-charge ratio of the resulting particles."@en	
<http://edamontology.org/operation_0417>	"Predict post-translation modification sites in protein sequences."	
<http://purl.obolibrary.org/obo/CL_0000578>		
<http://purl.obolibrary.org/obo/GO_0051246>	"Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving a protein."	
<http://purl.obolibrary.org/obo/MOD_00693>	"A protein modification that effectively replaces a hydrogen atom with an carbohydrate-like group through a glycosidic bond."	
<http://edamontology.org/operation_0306>	"Process and analyse text (typically scientific literature) to extract information from it."	
<http://purl.obolibrary.org/obo/CHEBI_25710>	"An organophosphorus compound is formally a compound containing at least one carbon-phosphorus bond, but the term is often extended to include esters and thioesters."	
<http://purl.obolibrary.org/obo/NCIT_C18966>	"The biosynthesis of new (often sets of distinct, functionally related) protein products, usually involving new mRNA transcripts, typically in response to an activating stimulus."	
<http://purl.obolibrary.org/obo/SO_0000182>	"A transposon where the mechanism of transposition is via a DNA intermediate."	
<http://purl.obolibrary.org/obo/CHEBI_24532>	"A cyclic compound having as ring members atoms of carbon and at least of one other element."	
<http://purl.obolibrary.org/obo/GO_0036211>	"The covalent alteration of one or more amino acids occurring in proteins, peptides and nascent polypeptides (co-translational, post-translational modifications). Includes the modification of charged tRNAs that are destined to occur in a protein (pre-translation modification)."	
<http://purl.obolibrary.org/obo/CHEBI_4705>		
<http://purl.obolibrary.org/obo/ENVO_01000839>	"Combustion or burning is a high-temperature exothermic redox chemical reaction between a fuel and an oxidant that produces oxidized, often gaseous products, in a mixture termed as smoke."	
<http://purl.obolibrary.org/obo/NCIT_C13426>	"Protein Binding Domains are structural motifs responsible for the peptide/protein binding activity of proteins."	
<http://purl.obolibrary.org/obo/OBI_1000049>	"A whole organism preparation resulting from a histological preparation known as whole mount preparation where the whole specimen is mounted or spread on the microscope (glass) slide"@en	
<http://purl.obolibrary.org/obo/CHEBI_37622>	"An amide of a carboxylic acid, having the structure RC(=O)NR2. The term is used as a suffix in systematic name formation to denote the -C(=O)NH2 group including its carbon atom."	
<http://purl.obolibrary.org/obo/OBI_0000181>	"A population is a group of material entities consisting of individuals which share a particular characteristic such as inhabiting a particular region or area or ability to interbreed."	
<http://purl.obolibrary.org/obo/CHEBI_33697>	"High molecular weight, linear polymers, composed of nucleotides containing ribose and linked by phosphodiester bonds; RNA is central to the synthesis of proteins."	
<http://edamontology.org/data_2849>	"An abstract of a scientific article."	
<http://edamontology.org/topic_0621>	"A specific organism, or group of organisms, used to study a particular aspect of biology."	
<http://purl.obolibrary.org/obo/SO_0000233>	"A transcript which has undergone the necessary modifications, if any, for its function. In eukaryotes this includes, for example, processing of introns, cleavage, base modification, and modifications to the 5' and/or the 3' ends, other than addition of bases. In bacteria functional mRNAs are usually not modified."	
<http://purl.obolibrary.org/obo/CHEBI_36962>	"An organochalcogen compound is a compound containing at least one carbon-chalcogen bond."	
<http://purl.obolibrary.org/obo/GO_0023052>	"The entirety of a process in which information is transmitted within a biological system. This process begins with an active signal and ends when a cellular response has been triggered."	
<http://purl.obolibrary.org/obo/SO_0000667>	"The sequence of one or more nucleotides added between two adjacent nucleotides in the sequence."	
<http://purl.obolibrary.org/obo/OBI_0000916>	"A cytometry assay in which an input cell population is put in solution, is passed by a laser, and optical sensors are used to detect scattering of the laser light and/or fluorescence of specific markers to count and characterize the particles in solution."@en	
<http://purl.obolibrary.org/obo/OGMS_0000063>	"The totality of all processes through which a given disease instance is realized."@en	
<http://purl.obolibrary.org/obo/OBI_0000680>	"A material entity which is the output of a process in which one or more whole organisms are prepared in a way to make it easier to study them, and in which the great majority of organismal parts are maintained"@en	
<http://purl.obolibrary.org/obo/SO_0000149>	"A contiguous sequence derived from sequence assembly. Has no gaps, but may contain N's from unavailable bases."	
<http://purl.obolibrary.org/obo/CHMO_0002414>	"Any method that measures the amount of light that a substance scatters at certain wavelengths, incident angles, and polarization angles."	
<http://purl.obolibrary.org/obo/DOID_93>	"A communication disorder that involves the processing of linguistic information."@en	
<http://purl.obolibrary.org/obo/OMRSE_00000054>	"A healthcare provider role that inheres in an organization and is realized by providing inpatient care."@en	
<http://purl.obolibrary.org/obo/NCIT_C104154>	"RNA found in blood plasma and other bodily fluids that is not associated with cells."	
<http://edamontology.org/operation_0488>	"Calculate linkage disequilibrium; the non-random association of alleles or polymorphisms at two or more loci (not necessarily on the same chromosome)."	
<http://purl.obolibrary.org/obo/ENVO_01001082>	"The disposition of an environmental system, particularly those influencing atmospheres, to manifest a cyclic pattern of weather over time."	
<http://purl.obolibrary.org/obo/NCIT_C45275>	"The act or process of following a person, animal, or object through space or time."	
<http://purl.obolibrary.org/obo/ENVO_01000549>		
<http://purl.obolibrary.org/obo/OBI_0100026>	"A material entity that is an individual living system, such as animal, plant, bacteria or virus, that is capable of replicating or reproducing, growth and maintenance in the right environment. An organism may be unicellular or made up, like humans, of many billions of cells divided into specialized tissues and organs."@en	
<http://edamontology.org/operation_2454>	"Detect, predict and identify genes or components of genes in DNA sequences, including promoters, coding regions, splice sites, etc."	
<http://purl.obolibrary.org/obo/OBI_0302840>	"An information content entity that has undergone a digital curation performed by a curator for accuracy checks and compliance with curation requirements. Information which has been assessed for accuracy by domain experts."@en	
<http://purl.obolibrary.org/obo/SO_0000253>	"Transfer RNA (tRNA) molecules are approximately 80 nucleotides in length. Their secondary structure includes four short double-helical elements and three loops (D, anti-codon, and T loops). Further hydrogen bonds mediate the characteristic L-shaped molecular structure. Transfer RNAs have two regions of fundamental functional importance: the anti-codon, which is responsible for specific mRNA codon recognition, and the 3' end, to which the tRNA's corresponding amino acid is attached (by aminoacyl-tRNA synthetases). Transfer RNAs cope with the degeneracy of the genetic code in two manners: having more than one tRNA (with a specific anti-codon) for a particular amino acid; and 'wobble' base-pairing, i.e. permitting non-standard base-pairing at the 3rd anti-codon position."	
<http://purl.obolibrary.org/obo/CL_0000145>	"A cell capable of processing and presenting lipid and protein antigens to T cells in order to initiate an immune response."	
<http://purl.obolibrary.org/obo/NCIT_C18469>	"Temporary, non-covalent binding between protein molecules. Protein-protein interactions occur as a result of intermolecular physical forces and spatial complementation between domains or motifs. This interaction can be either homotypic or heterotypic and effect protein structure, conformation, and function."	
<http://purl.obolibrary.org/obo/PATO_0000043>	"A quality of a physical entity inhering in a bearer by virtue of whether the bearer's molecules are being perceived by a taste and odorant receptors."	
<http://purl.obolibrary.org/obo/CHMO_0000104>	"Microscopy where the specimen is illuminated with light transmitted from a source on the opposite side of the specimen from the objective."	
<http://purl.obolibrary.org/obo/CHEBI_33659>		
<http://purl.obolibrary.org/obo/OAE_0000002>	"medical intervention is a planned process that has the goal of diagnosing, preventing or relieving illness or injury."	
<http://purl.obolibrary.org/obo/GO_0051641>	"A cellular localization process whereby a substance or cellular entity, such as a protein complex or organelle, is transported to, and/or maintained in, a specific location within a cell including the localization of substances or cellular entities to the cell membrane."	
<http://purl.obolibrary.org/obo/UBERON_0000955>	"The brain is the center of the nervous system in all vertebrate, and most invertebrate, animals. Some primitive animals such as jellyfish and starfish have a decentralized nervous system without a brain, while sponges lack any nervous system at all. In vertebrates, the brain is located in the head, protected by the skull and close to the primary sensory apparatus of vision, hearing, balance, taste, and smell[WP]."	
<http://purl.obolibrary.org/obo/OBI_0600058>	"the use of enzymes to increase the number of molecules of a biomaterial"@en	
<http://purl.obolibrary.org/obo/MI_2025>	"Molecular weight in g/mol, determined from molecular formula or sequence."	
<http://semanticscience.org/resource/SIO_001257>		
<http://edamontology.org/data_0942>	"Two-dimensional gel electrophoresis image."	
<http://edamontology.org/data_1086>	"Identifier of an entry from a database of chemicals."	
<http://edamontology.org/topic_3383>	"The use of imaging techniques to understand biology."	
<http://purl.obolibrary.org/obo/OBI_0001199>	"A study design that is conducted entirely in a living organism, e.g. a compound treatment in a mouse model."@en	
<http://edamontology.org/data_3505>	"A list of publications such as scientic papers or books."	
<http://purl.obolibrary.org/obo/GO_0042571>	"An immunoglobulin complex that is secreted into extracellular space and found in mucosal areas or other tissues or circulating in the blood or lymph. In its canonical form, a circulating immunoglobulin complex is composed of two identical heavy chains and two identical light chains, held together by disulfide bonds. Some forms of are polymers of the basic structure and contain additional components such as J-chain and the secretory component."	
<http://purl.obolibrary.org/obo/CHEBI_59163>	"A substance used as an indicator  of a biological state."	
<http://edamontology.org/data_3103>	"Unique identifier of a drug conforming to the Anatomical Therapeutic Chemical (ATC) Classification System, a drug classification system controlled by the WHO Collaborating Centre for Drug Statistics Methodology (WHOCC)."	
<http://purl.obolibrary.org/obo/OBI_0000725>	"host role is a role played by an organism and realized by providing nourishment, shelter or a means of reproduction to another organism within the organism playing the host role"@en	
<http://www.ebi.ac.uk/efo/EFO_0005135>	"A population of organisms that is geneticaly different from others of the same species and possessing a set of defined characteristics."	
